id,condition,angle,rt,accuracy,trial
3,allocentric,135,1255,1,78
3,allocentric,-90,1167,1,79
3,allocentric,-90,2201,1,80
3,allocentric,45,3053,1,81
3,allocentric,-45,2206,1,82
3,allocentric,-90,1735,1,83
3,allocentric,0,1059,1,84
3,allocentric,180,1863,1,85
3,allocentric,-45,1475,1,86
3,allocentric,0,1404,1,87
3,allocentric,-90,2482,1,88
3,allocentric,-135,4100,1,89
3,allocentric,-90,2174,1,90
3,allocentric,45,2324,1,91
3,allocentric,-90,1726,1,92
3,allocentric,-45,4029,1,93
3,allocentric,180,2802,1,94
3,allocentric,-45,2505,1,95
3,allocentric,90,1817,1,96
3,allocentric,-135,2213,1,97
3,allocentric,135,3791,1,98
3,allocentric,0,1050,1,99
3,allocentric,0,753,1,100
3,allocentric,90,2021,1,101
3,allocentric,180,2698,1,102
3,allocentric,-45,1615,1,103
3,allocentric,-45,1540,1,104
3,allocentric,135,2049,1,105
3,allocentric,-45,1225,1,106
3,allocentric,180,1546,1,107
3,allocentric,135,1519,1,108
3,allocentric,180,1949,1,109
3,allocentric,0,975,1,110
3,egocentric,180,1116,1,0
3,egocentric,-90,1148,1,1
3,egocentric,180,1131,1,2
3,egocentric,90,835,1,3
3,egocentric,-45,890,1,4
3,egocentric,45,793,1,5
3,egocentric,90,754,1,6
3,egocentric,180,932,1,7
3,egocentric,-135,964,1,8
3,egocentric,135,977,1,9
3,egocentric,-135,1861,1,10
3,egocentric,-45,748,1,11
3,egocentric,-45,746,1,12
3,egocentric,135,942,1,13
3,egocentric,135,813,1,14
3,egocentric,135,784,1,15
3,egocentric,90,770,1,16
3,egocentric,-90,620,1,17
3,egocentric,-135,930,1,18
3,egocentric,45,875,1,19
3,egocentric,0,655,1,20
3,egocentric,180,796,1,21
3,egocentric,45,687,1,22
3,egocentric,135,636,1,23
3,egocentric,45,740,1,24
3,egocentric,-135,665,1,25
3,egocentric,90,542,1,26
3,egocentric,-135,699,1,27
3,egocentric,0,571,1,28
3,egocentric,180,831,1,29
3,egocentric,0,697,1,30
3,egocentric,0,883,1,31
3,egocentric,180,1220,1,32
3,egocentric,135,679,1,33
3,egocentric,-45,1030,1,34
3,egocentric,90,753,1,35
3,egocentric,45,787,1,36
3,egocentric,-90,1421,1,37
3,egocentric,180,722,1,38
3,egocentric,135,604,1,39
3,egocentric,-45,545,1,40
3,egocentric,90,740,1,41
3,egocentric,0,493,1,42
3,egocentric,0,456,1,43
3,egocentric,135,678,1,44
3,egocentric,-135,948,1,45
3,egocentric,-45,890,1,46
3,egocentric,-90,694,1,47
3,egocentric,-90,799,1,48
3,egocentric,-90,1122,1,49
3,egocentric,-45,791,1,50
3,egocentric,-45,621,1,51
3,egocentric,-45,582,1,52
3,egocentric,-135,904,1,53
3,egocentric,90,617,1,54
3,egocentric,0,497,1,55
3,egocentric,90,704,1,56
3,egocentric,-135,690,1,57
3,egocentric,-90,559,1,58
3,egocentric,135,1232,1,59
3,egocentric,135,596,1,60
3,egocentric,-45,559,1,61
3,egocentric,180,905,1,62
3,egocentric,0,680,1,63
3,egocentric,-135,1219,1,64
3,egocentric,-90,579,1,65
3,egocentric,-90,591,1,66
3,egocentric,-90,1595,1,67
3,egocentric,135,1464,1,68
3,egocentric,180,1189,1,69
3,egocentric,45,755,1,70
3,egocentric,45,628,1,71
3,egocentric,45,613,1,72
3,egocentric,45,707,1,73
3,egocentric,0,591,1,74
3,egocentric,90,701,1,75
3,egocentric,90,908,1,76
3,egocentric,135,920,1,77
3,egocentric,45,670,1,78
3,egocentric,-90,654,1,79
3,egocentric,-135,613,1,80
3,egocentric,45,511,1,81
3,egocentric,-90,577,1,82
3,egocentric,-45,584,1,83
3,egocentric,180,1186,1,84
3,egocentric,-135,1385,1,85
3,egocentric,-135,1381,1,86
3,egocentric,135,651,1,87
3,egocentric,135,685,1,88
3,egocentric,180,687,1,89
3,egocentric,0,571,1,90
3,egocentric,0,615,1,91
3,egocentric,-135,1190,1,92
3,egocentric,45,680,1,93
3,egocentric,90,645,1,94
3,egocentric,90,1052,1,95
3,egocentric,45,746,1,96
3,egocentric,0,708,1,97
3,egocentric,180,889,1,98
3,egocentric,0,601,1,99
3,egocentric,-45,612,1,100
3,egocentric,180,1056,1,101
3,egocentric,0,677,1,102
3,egocentric,-90,836,1,103
3,egocentric,90,657,1,104
3,egocentric,-45,795,1,105
3,egocentric,-90,735,1,106
3,egocentric,180,880,1,107
3,egocentric,-135,1059,1,108
3,egocentric,90,554,1,109
3,egocentric,45,705,1,110
4,egocentric,90,1076.41,1,0
4,egocentric,0,916.875,1,1
4,egocentric,45,928.365,1,2
4,egocentric,45,917.73,1,3
4,egocentric,180,1244.055,1,4
4,egocentric,-90,1203.465,1,5
4,egocentric,90,1039.415,1,6
4,egocentric,180,1835.765,1,7
4,egocentric,180,1940.085,1,8
4,egocentric,180,1483.26,1,9
4,egocentric,90,1510.56,1,10
4,egocentric,135,2919.425,1,11
4,egocentric,0,1679.94,1,12
4,egocentric,45,2160.735,1,13
4,egocentric,180,2568.81,1,14
4,egocentric,135,2582.14,1,15
4,egocentric,0,889.3,1,16
4,egocentric,-45,1216.195,1,17
4,egocentric,135,4505.725,1,18
4,egocentric,0,839.115,1,19
4,egocentric,-45,1419.245,1,20
4,egocentric,45,1169.82,1,21
4,egocentric,-90,1285.745,1,22
4,egocentric,-135,2286.61,1,23
4,egocentric,45,854.56,1,24
4,egocentric,90,1175.625,1,25
4,egocentric,-135,1373.52,1,26
4,egocentric,-135,1789.34,1,27
4,egocentric,180,2533.54,1,28
4,egocentric,-135,3473.625,1,29
4,egocentric,-90,751.345,1,30
4,egocentric,-135,3368.995,1,31
4,egocentric,45,1635.55,1,32
