cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate
none,right,,,,,0,62,62,70,0.032121296,2.032121296,658.0434322,None,658.1453439,None,659.1773396,None,663.6841495,None,663.6841495,None,j,663.6841495,None,665.0148619,None,1.267983978,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,63,63,45,0.032109338,2.032109338,667.5146853,None,668.3170072,None,669.3488013,None,672.755026,None,672.755026,None,j,672.755026,None,674.1843895,None,1.356054412,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,64,64,14,0.032112303,2.032112303,676.6522338,None,677.8551691,None,678.8866291,None,683.8936567,None,683.8936567,None,f,683.8936567,None,684.6257184,None,0.656417308,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,65,65,9,0.032118271,2.032118271,687.1236778,None,688.3241328,None,689.3248741,None,694.331998,None,694.331998,None,f,694.331998,None,695.0475367,None,0.65040315,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,66,66,72,0.032110312,2.032110312,697.5454094,None,697.9139378,None,698.946135,None,702.952805,None,702.952805,None,f,702.952805,None,703.8651207,None,0.866314407,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,67,67,23,0.032126857,2.032126857,706.3329457,None,706.4353232,None,707.4667314,None,710.8711545,None,710.8711545,None,j,710.8711545,None,711.3853994,None,0.438145835,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,68,68,4,0.032128272,2.032128272,713.8532919,None,714.2197405,None,715.2205948,None,718.6269264,None,718.6269264,None,None,718.6269264,None,720.1395844,None,,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,69,69,59,0.032217184,2.032217184,722.6072751,None,722.7091787,None,723.7409778,None,727.7478323,None,727.7478323,None,f,727.7478323,None,728.4267473,None,0.631239071,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,70,70,49,0.032128889,2.032128889,730.894466,None,731.2634359,None,732.2951708,None,735.7015464,None,735.7015464,None,f,735.7015464,None,736.614004,None,0.834605831,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,71,71,30,0.031537913,2.031537913,739.0817076,None,739.4511481,None,740.4824735,None,744.4865169,None,744.4865169,None,j,744.4865169,None,745.2199104,None,0.699093359,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,0,72,72,42,0.031889517,2.031889517,747.7180212,None,748.9187121,None,749.9522499,None,753.9565711,None,753.9565711,None,f,753.9565711,None,754.6211483,None,0.604311831,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,0,73,73,6,0.032468542,2.032468542,757.0890156,None,757.4560017,None,758.489535,None,763.4982633,None,763.4982633,None,f,763.4982633,None,763.9601539,None,0.414969756,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,left,,,,,0,74,74,39,0.032114299,2.032114299,766.4268731,None,766.7950728,None,767.8275595,None,772.8322423,None,772.8322423,None,f,772.8322423,None,773.5859075,None,0.717586,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,75,75,19,0.032002192,2.032002192,776.0813367,None,776.1824307,None,777.2158645,None,782.2192182,None,782.2192182,None,j,782.2192182,None,782.8530417,None,0.585763746,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,76,76,67,0.032011345,2.032011345,785.3522448,None,785.7196587,None,786.7532806,None,791.2572954,None,791.2572954,None,j,791.2572954,None,791.8904915,None,0.577247656,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,77,77,78,0.031912339,2.031912339,794.3902979,None,795.5909701,None,796.624374,None,801.132522,None,801.132522,None,j,801.132522,None,801.9472416,None,0.757285575,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,0,78,78,71,0.03226281,2.03226281,804.4462415,None,805.2785145,None,806.2803152,None,809.6862516,None,809.6862516,None,j,809.6862516,None,810.699213,None,0.950872981,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
right,right,,,,,0,79,79,22,0.032110654,2.032110654,813.1669207,None,814.3696992,None,815.4013909,None,818.8075277,None,818.8075277,None,j,818.8075277,None,819.4187321,None,0.564356212,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,0,80,6,0.031733207,2.031733207,821.8864442,None,823.0879432,None,824.0889234,None,828.595483,None,828.595483,None,f,828.595483,None,829.1578625,None,0.501818205,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
left,left,,,,,1,1,81,11,0.032484661,2.032484661,831.6256491,None,832.8282526,None,833.8599752,None,838.366672,None,838.366672,None,f,838.366672,None,839.0845346,None,0.657501206,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,2,82,63,0.032133777,2.032133777,841.580394,None,842.3803079,None,843.3811321,None,846.7874291,None,846.7874291,None,j,846.7874291,None,847.7033763,None,0.874651038,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,3,83,43,0.031492333,2.031492333,850.2013889,None,851.0016298,None,852.0019955,None,856.5089085,None,856.5089085,None,f,856.5089085,None,857.308089,None,0.746150869,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,left,,,,,1,4,84,44,0.03197517,2.03197517,859.8042453,None,860.1713581,None,861.2052088,None,866.2134222,None,866.2134222,None,f,866.2134222,None,866.9923074,None,0.696289769,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
none,right,,,,,1,5,85,65,0.032123931,2.032123931,869.4601984,None,869.5620945,None,870.5934657,None,874.0003553,None,874.0003553,None,j,874.0003553,None,875.3312017,None,1.261251569,,,,,,,ZZ,2022_Mar_07_1403,rdk-discrimination,03.02.21,59.9
