cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,dots_keyboard_response.rt,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
none,left,,,,,0,35,35,54,0.03195480500016856,2.0319548050001686,410.6762031960002,None,411.47805358100004,None,412.51041720500007,None,416.51671899500025,None,416.51671899500025,None,j,416.51671899500025,None,417.44601865100003,None,0.8612618040001507,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,36,36,48,0.03207591499995033,2.0320759149999503,419.91377225800034,None,420.71639475300026,None,421.748001813,None,426.25495510200017,None,426.25495510200017,None,f,426.25495510200017,None,427.30052700600027,None,0.9624860869998884,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,37,37,60,0.03213177400039058,2.0321317740003906,429.76853661600035,None,429.870484087,None,430.9024555250003,None,434.3090842690003,None,434.3090842690003,None,j,434.3090842690003,None,435.304479377,None,0.9260427260001052,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,38,38,26,0.031929879000017536,2.0319298790000175,437.772644443,None,438.975085604,None,440.0068158680001,None,445.0140330160002,None,445.0140330160002,None,j,445.0140330160002,None,445.7426841380002,None,0.658227739999802,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,left,,,,,0,39,39,11,0.031940444000156276,2.0319404440001563,448.2106676550002,None,449.01373670500016,None,450.0448612500004,None,454.051333419,None,454.051333419,None,f,454.051333419,None,454.7313100810002,None,0.6235924499997054,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
left,right,,,,,0,40,40,34,0.032078764000289084,2.032078764000289,457.198323783,None,458.00106920300004,None,459.03241639700036,None,463.0388021110002,None,463.0388021110002,None,f,463.0388021110002,None,463.5845561170004,None,0.48326289699980407,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,left,,,,,0,41,41,36,0.03213837900057115,2.032138379000571,466.0524110700003,None,466.855033756,None,467.8866061370004,None,472.39314159900005,None,472.39314159900005,None,f,472.39314159900005,None,473.23909181700037,None,0.7789658430001509,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,42,42,27,0.03207801500002461,2.0320780150000246,475.7069836280002,None,476.909771522,None,477.9414577270004,None,481.347692411,None,481.347692411,None,j,481.347692411,None,482.07659097900023,None,0.6609857839998767,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,43,43,73,0.032074434000151086,2.032074434000151,484.5446465,None,484.9130375310001,None,485.9452139050004,None,490.95236326400027,None,490.95236326400027,None,j,490.95236326400027,None,491.83124533299997,None,0.8030610119999437,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,44,44,69,0.0321076609998272,2.032107660999827,494.29816241900016,None,495.0978157110003,None,496.09996849900017,None,499.5025520480003,None,499.5025520480003,None,f,499.5025520480003,None,500.5183634690002,None,0.968812779000018,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,45,45,56,0.03211080100027175,2.0321108010002717,502.98650317700003,None,503.08846363500015,None,504.12038499300024,None,509.1275538480004,None,509.1275538480004,None,f,509.1275538480004,None,509.8398592460003,None,0.6501818400001866,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,46,46,57,0.032493831999545364,2.0324938319995454,512.307724963,None,512.4096247480002,None,513.441524632,None,517.4480952510003,None,517.4480952510003,None,f,517.4480952510003,None,518.1282963410004,None,0.6246839199998249,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,right,,,,,0,47,47,77,0.03212333699957526,2.0321233369995753,520.5948961190002,None,521.3971725300003,None,522.4291135150002,None,526.435769834,None,526.435769834,None,j,526.435769834,None,527.2681806580003,None,0.7928912120000859,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
none,left,,,,,0,48,48,51,0.03211601600060021,2.0321160160006,529.7659199580003,None,530.968465207,None,532.0003017860004,None,536.5068877110002,None,536.5068877110002,None,f,536.5068877110002,None,537.185847193,None,0.6193752389999645,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
right,right,,,,,0,49,49,29,0.032116920000134996,2.032116920000135,539.6536951440003,None,540.4566845650002,None,541.4879170960003,None,545.4944729830004,None,545.4944729830004,None,j,545.4944729830004,None,546.0951991380002,None,0.5427605830000175,,,,,,,JH,2022_Mar_07_1403,rdk-discrimination,2021.2.3,29.96142322942526,
