trial,ID,cue,direction,response,rt,choice,correct,condition,mean_C,sd_C,trial_type
914,kaja,left,right,1,0.6121926000341773,right,1,invalid,0.7537437478937564,0.24844249026586113,OK
915,kaja,right,right,0,0.6704789000214078,left,0,valid,0.7345113326619624,0.2437698370620411,OK
916,kaja,none,right,1,0.6011436999542639,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
917,kaja,right,right,0,0.532290400005877,left,0,valid,0.7345113326619624,0.2437698370620411,OK
918,kaja,none,right,1,0.7432739000068977,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
919,kaja,none,right,0,0.7872823000070639,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
920,kaja,none,left,0,0.6523675000062212,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
921,kaja,none,left,0,0.6704300999990664,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
922,kaja,none,right,1,0.636698400019668,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
923,kaja,left,left,0,0.5582496999995783,left,1,valid,0.7345113326619624,0.2437698370620411,OK
924,kaja,none,right,1,0.5716469999752007,right,1,neutral,0.7716613956494428,0.2299563121835134,OK
925,kaja,none,left,0,0.6500848000287078,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
926,kaja,none,left,1,0.69397749996278435,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
927,kaja,none,left,1,0.9382293000235222,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
928,kaja,right,left,0,0.6001046000164934,left,1,invalid,0.7537437478937564,0.24844249026586113,OK
929,kaja,none,left,0,0.754233599989675,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
930,kaja,none,right,0,0.7185709000332281,left,0,neutral,0.7716613956494428,0.2299563121835134,OK
931,kaja,right,right,1,0.5766902000177652,right,1,valid,0.7345113326619624,0.2437698370620411,OK
932,kaja,none,left,1,1.3077687000040896,right,0,neutral,0.7716613956494428,0.2299563121835134,OK
933,kaja,none,left,0,1.103915300045628,left,1,neutral,0.7716613956494428,0.2299563121835134,OK
