cue,direction,practice_block_loop.thisRepN,practice_block_loop.thisTrialN,practice_block_loop.thisN,practice_block_loop.thisIndex,main_blocks_loop.thisRepN,main_blocks_loop.thisTrialN,main_blocks_loop.thisN,main_blocks_loop.thisIndex,static_isi.started,static_isi.stopped,fixation_pre.started,fixation_pre.stopped,image.started,image.stopped,fixation_post.started,fixation_post.stopped,dots_background.started,dots_background.stopped,dots_stimulus.started,dots_stimulus.stopped,dots_keyboard_response.keys,dots_keyboard_response.rt,dots_keyboard_response.started,dots_keyboard_response.stopped,feedback_text.started,feedback_text.stopped,instruction_main_text.started,instruction_main_text.stopped,instruction_main_keyboard_response.keys,instruction_main_keyboard_response.rt,instruction_main_keyboard_response.started,instruction_main_keyboard_response.stopped,Pseudonym,date,expName,psychopyVersion,frameRate,
none,left,,,,,0,41,41,57,0.015315792099954706,1.0153157920999547,436.55327947700005,None,436.66974930899994,None,437.67042294400005,None,442.675976739,None,442.675976739,None,f,0.8786064590001388,442.675976739,None,443.57390977500006,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,left,,,,,0,42,42,48,0.015326938100088228,1.0153269381000882,445.05704779899986,None,446.25927104999994,None,447.258495531,None,450.66187618799984,None,450.66187618799984,None,j,0.8766843769999468,450.66187618799984,None,451.57746534599994,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,43,43,70,0.015312999099933222,1.0153129990999332,453.06141077099994,None,454.26323395999987,None,455.262324506,None,458.6656113779999,None,458.6656113779999,None,j,0.6729649349999818,458.6656113779999,None,459.3809228879999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
none,right,,,,,0,44,44,79,0.015318217100002585,1.0153182171000026,460.8645402169999,None,461.21646160399985,None,462.2156398359999,None,466.71969763899995,None,466.71969763899995,None,j,0.7707760329999473,466.71969763899995,None,467.5352358829999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,right,,,,,0,45,45,32,0.015319333100023869,1.0153193331000239,469.01864193799986,None,469.8213155949999,None,470.81994496799996,None,475.32417002,None,475.32417002,None,j,0.990572985999961,475.32417002,None,476.35588945300003,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,46,46,18,0.015327569099781613,1.0153275690997816,477.8393703999999,None,477.94165898099993,None,478.94022558799986,None,483.9444797709999,None,483.9444797709999,None,j,0.7061758349998399,483.9444797709999,None,484.678973855,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,47,47,16,0.015322855099839217,1.0153228550998392,486.17659307199995,None,487.3790232339999,None,488.378121889,None,492.3817879479999,None,492.3817879479999,None,j,0.7168488609997894,492.3817879479999,None,493.1332666709999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,48,48,24,0.015326036100077545,1.0153260361000775,494.63059140100006,None,495.8334064239999,None,496.832254629,None,501.33596900300006,None,501.33596900300006,None,j,0.46664283199993406,501.33596900300006,None,501.83476058300005,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
right,right,,,,,0,49,49,28,0.015316209100092237,1.0153162091000922,503.3181728789999,None,503.670483903,None,504.66904139099995,None,509.67369359999987,None,509.67369359999987,None,j,0.6649116880000747,509.67369359999987,None,510.3582191219999,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
left,left,,,,,0,50,50,11,0.015354918100001669,1.0153549181000017,511.855504561,None,513.0584546439999,None,514.057042045,None,517.460646935,None,517.460646935,None,f,0.6779704439998113,517.460646935,None,518.17660031,None,,,,,,,NS,2022_Mar_07_1331,rdk-discrimination,2021.2.3,59.93825975636707,
