trial,ID,cue,direction,response,rt,choice,correct,condition
121,NS,none,left,0,0.8137533350000012,left,1,neutral
122,NS,none,right,1,0.8003134310001769,right,1,neutral
123,NS,right,right,1,0.7241102010000304,right,1,valid
124,NS,right,left,1,0.5039289660001032,right,0,invalid
125,NS,none,right,1,0.737492876000033,right,1,neutral
126,NS,none,right,1,0.8600506909999694,right,1,neutral
127,NS,left,right,1,0.9046785389998604,right,1,invalid
128,NS,right,right,1,0.7517112909999923,right,1,valid
129,NS,none,left,0,1.3170777370000906,left,1,neutral
130,NS,left,right,1,1.245737586999894,right,1,invalid
131,NS,none,left,1,0.9947332889996688,right,0,neutral
132,NS,none,right,0,1.1589727599998696,left,0,neutral
133,NS,left,left,0,0.890937385000143,left,1,valid
134,NS,none,right,1,1.1021211100000985,right,1,neutral
135,NS,none,right,1,1.27333143199985,right,1,neutral
136,NS,left,left,0,0.8838092040000447,left,1,valid
137,NS,none,left,1,0.7454200150000361,right,0,neutral
138,NS,none,right,1,1.084409765000146,right,1,neutral
139,NS,none,left,0,1.136291243999949,left,1,neutral
140,NS,none,right,1,1.1196648089999144,right,1,neutral
141,NS,right,right,1,0.8367497700000968,right,1,valid
142,NS,left,left,0,0.7331032150000283,left,1,valid
143,NS,none,right,1,0.7689354799999819,right,1,neutral
144,NS,left,left,0,0.6629936990002534,left,1,valid
145,NS,none,right,1,1.0415503350000108,right,1,neutral
146,NS,none,left,0,0.8345072750003055,left,1,neutral
147,NS,none,right,1,0.7458948200001032,right,1,neutral
148,NS,none,right,1,0.8912609250000969,right,1,neutral
149,NS,right,right,1,0.45984202499994353,right,1,valid
150,NS,left,left,0,0.7021157399999538,left,1,valid
151,NS,right,right,1,0.8961098600002515,right,1,valid
152,NS,right,right,1,0.7417874590000793,right,1,valid
153,NS,left,left,0,1.234699909000028,left,1,valid
154,NS,none,right,1,1.099974045000181,right,1,neutral
155,NS,right,left,1,0.74657332400011,right,0,invalid
156,NS,right,right,1,0.7470752849999371,right,1,valid
157,NS,none,right,1,0.7744975249997879,right,1,neutral
158,NS,none,left,1,0.9558037400001922,right,0,neutral
159,NS,none,left,0,0.789083109999865,left,1,neutral
0,SS91,none,left,1,0.989415000003646,right,0,neutral
1,SS91,none,right,1,1.3572795999934897,right,1,neutral
2,SS91,none,left,0,NA,left,1,neutral
3,SS91,right,right,1,0.4279287999961525,right,1,valid
4,SS91,right,right,1,0.29629870000644587,right,1,valid
5,SS91,none,left,0,0.28274780001083855,left,1,neutral
6,SS91,none,right,1,0.7566941000113729,right,1,neutral
7,SS91,right,right,1,0.8451649000053294,right,1,valid
8,SS91,right,right,0,1.0455396000033943,left,0,valid
9,SS91,none,right,0,0.8005658999900334,left,0,neutral
10,SS91,right,right,1,0.49660499999299645,right,1,valid
11,SS91,none,left,1,1.2601703999971503,right,0,neutral
12,SS91,left,right,0,NA,left,0,invalid
13,SS91,right,right,1,0.5836683000088669,right,1,valid
14,SS91,left,left,0,0.4184665000066161,left,1,valid
15,SS91,none,left,1,1.3782257000129905,right,0,neutral
16,SS91,left,left,0,0.4882534999924246,left,1,valid
17,SS91,none,right,0,0.4999506000021938,left,0,neutral
18,SS91,none,left,1,0.4226529000006849,right,0,neutral
19,SS91,none,left,1,0.8726494000002276,right,0,neutral
20,SS91,left,left,1,0.7065053999976953,right,0,valid
21,SS91,none,left,1,0.47770100001071114,right,0,neutral
