subject,imagery,signal_present,correct,rt
2,0,0,1,0.68
2,0,1,1,0.439
2,0,0,1,0.843
2,0,0,1,0.604
2,0,1,1,0.514
2,0,1,0,0.317
2,0,1,0,0.808
2,0,0,1,0.456
2,0,1,1,0.243
2,0,0,1,3.481
2,0,1,1,0.29900000000046567
2,0,1,0,1.111
2,0,1,1,1.224
2,0,0,1,0.998
2,0,0,1,0.38
2,0,1,0,0.712
2,0,1,0,0.392
2,0,0,1,0.352
2,0,1,0,0.48
2,0,1,1,0.601
2,0,0,1,0.319
2,0,1,1,0.275
2,0,0,1,0.33400000000046565
2,0,0,1,0.207
2,0,1,1,0.337
2,0,0,1,0.67
2,0,0,1,0.617
2,0,1,1,1.19
2,0,0,1,0.529
2,0,1,1,0.342
2,0,0,0,1.035
2,0,1,1,0.33099999999953433
2,0,0,1,0.495
2,0,1,1,0.765
2,0,1,1,0.399
2,0,0,1,0.34
2,0,1,1,0.3189999999995343
2,0,1,1,0.19
2,0,1,1,0.314
2,0,1,1,0.167
2,0,0,1,0.462
2,0,0,1,0.587
2,0,0,0,0.55
2,0,0,1,0.308
2,0,0,1,0.164
2,0,0,1,0.599
2,0,1,1,0.687
2,0,1,1,0.35599999999953436
2,0,0,1,0.408
2,0,0,1,1.1820000000004656
2,0,0,1,0.33999999999953434
2,0,1,1,0.27
2,0,0,1,0.6959999999995343
2,0,1,1,0.339
2,0,0,1,0.3
2,0,1,1,0.318
2,0,1,1,0.367
2,1,0,1,5.094
2,1,1,1,0.395
2,1,1,1,0.333
2,1,0,1,0.542
2,1,1,1,0.182
2,1,1,0,0.21900000000046568
2,1,1,1,0.38899999999953433
2,1,1,1,0.46
2,1,0,1,0.389
2,1,0,1,0.645
2,1,0,1,1.029
2,1,0,1,0.324
2,1,0,1,0.364
2,1,1,0,0.708
2,1,0,1,0.652
2,1,1,1,0.46
2,1,0,1,1.108
2,1,1,1,0.077
2,1,1,1,0.392
2,1,0,1,0.36
2,1,1,1,0.11599999999953434
2,1,0,1,0.497
2,1,0,1,0.585
2,1,1,0,1.652
3,0,0,1,2.5975
3,0,1,0,0.7397999999523163
3,0,1,0,0.2945
3,0,1,0,0.09580000007152556
3,0,0,1,0.5617999999523163
3,0,0,1,0.46039999997615816
3,0,0,1,0.3121999999284744
3,0,0,1,0.48779999995231627
3,0,0,1,0.3437000000476837
3,0,1,0,0.35110000002384184
3,0,0,1,0.5568999999761581
3,0,0,1,0.8546999999284745
3,0,1,1,0.8577000000476838
3,0,0,0,1.8952000000476834
3,0,0,1,0.4893000000715256
3,0,0,1,0.3246000000238419
3,0,1,1,0.6749000000953674
3,0,1,1,0.7103000000715256
3,0,0,1,1.5028000000715256
3,0,1,1,0.3452999999523163
3,0,1,1,0.13379999995231628
3,0,1,1,0.3298000000715256
3,0,1,1,0.5193999999761582
3,0,1,1,0.5174000000953675
3,0,0,1,2.5807999999523163
3,0,0,1,0.5635
3,0,0,1,0.3876000000238419
3,0,1,0,0.40480000007152556
3,0,0,1,0.6883000000715256
3,0,0,1,0.48860000002384185
3,0,1,1,1.2647000000476836
3,0,1,1,0.7452000000476837
3,0,1,1,0.930100000023842
3,0,1,1,0.5259000000953674
3,0,1,1,0.5306000000238419
3,0,0,0,0.9477000000476836
3,0,1,1,0.41160000002384184
